what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1266813780711
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1266813780730
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1266813780749
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1266813780808
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266813785315
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.help.aboutAction",1266813786208
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266813786253
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266813791592
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1266813802940
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266813805760
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266813824612
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.help.aboutAction",1266813826727
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266813826762
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266813836929
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266815272369
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266815273745
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266815850461
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266815854372
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266815856172
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266815860260
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266815896925
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266815899525
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266815901039
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1266815902824
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1266815902826
